class,uniprot_id,name
positive,A0A387HGY9,A0A387HGY9_9ACTN Thermostable beta-glucosidase B OS=Streptomyces hundungensis OX=1077946 GN=bglB_1 PE=3 SV=1
negative,A0A0F7ZUW2,A0A0F7ZUW2_9HYPO beta-glucosidase OS=Hirsutella minnesotensis 3608 OX=1043627 GN=HIM_05021 PE=3 SV=1
positive,A0A1H1GMK7,A0A1H1GMK7_9ACTN Beta-glucosidase OS=Thermostaphylospora chromogena OX=35622 GN=SAMN04489764_3688 PE=3 SV=1
negative,J4KP19,J4KP19_BEAB2 beta-glucosidase OS=Beauveria bassiana (strain ARSEF 2860) OX=655819 GN=BBA_04624 PE=3 SV=1
positive,A0A174ECL0,A0A174ECL0_9FIRM Thermostable beta-glucosidase B OS=Roseburia inulinivorans OX=360807 GN=bglB_5 PE=3 SV=1
negative,A0A6N9UHZ8,A0A6N9UHZ8_9ACTN beta-glucosidase (Fragment) OS=Streptomyces coelicoflavus OX=285562 GN=G3I46_04515 PE=4 SV=1
positive,A0A1C6B137,A0A1C6B137_9FIRM Thermostable beta-glucosidase B OS=uncultured Flavonifractor sp OX=1193534 GN=bglB_4 PE=3 SV=1
negative,A0A7V4DGK8,A0A7V4DGK8_9BACT Beta-glucosidase OS=Candidatus Caldatribacterium californiense OX=1454726 GN=ENU96_06325 PE=3 SV=1
positive,B9L147,B9L147_THERP Beta-glucosidase OS=Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2) OX=309801 GN=trd_1758 PE=3 SV=1
negative,I4B8U7,I4B8U7_TURPD Beta-glucosidase OS=Turneriella parva (strain ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H) OX=869212 GN=Turpa_3065 PE=3 SV=1
positive,A0A379JII3,A0A379JII3_9NOCA Thermostable beta-glucosidase B OS=Nocardia otitidiscaviarum OX=1823 GN=bglB PE=3 SV=1
negative,M2ZB83,M2ZB83_9PROT Beta-glucosidase OS=Paramagnetospirillum caucaseum OX=1244869 GN=H261_02046 PE=3 SV=1
positive,I3VS74,I3VS74_THESW beta-glucosidase OS=Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485) OX=1094508 GN=Tsac_0339 PE=3 SV=1
negative,A0A231RVI9,A0A231RVI9_9BACL beta-glucosidase OS=Cohnella sp. CIP 111063 OX=1955714 GN=B1A99_02230 PE=3 SV=1
positive,A0A941IIJ9,A0A941IIJ9_9ACTN Beta-glucosidase OS=Actinospica acidithermotolerans OX=2828514 GN=KDK95_11210 PE=3 SV=1
negative,A0A1C5TC93,A0A1C5TC93_9FIRM beta-glucosidase OS=uncultured Faecalibacterium sp OX=259315 GN=bglX_2 PE=4 SV=1
positive,A0A840PLI7,A0A840PLI7_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_009573 PE=3 SV=1
negative,A0A5C8YAN8,A0A5C8YAN8_PSEME beta-glucosidase OS=Pseudomonas mendocina OX=300 GN=bglX PE=4 SV=1
positive,A0A399EXZ4,A0A399EXZ4_9DEIN Thermostable beta-glucosidase B OS=Meiothermus luteus OX=2026184 GN=bglB PE=3 SV=1
